File name,Sample ID,Label2,Label3
hHEP_D1_1.raw.PG.Quantity,hHEP_D1_1,hHEP_D1,hHEP
hHEP_D1_2.raw.PG.Quantity,hHEP_D1_2,hHEP_D1,hHEP
hHEP_D1_3.raw.PG.Quantity,hHEP_D1_3,hHEP_D1,hHEP
hHEP_D3_1.raw.PG.Quantity,hHEP_D3_1,hHEP_D3,hHEP
hHEP_D3_2.raw.PG.Quantity,hHEP_D3_2,hHEP_D3,hHEP
hHEP_D3_3.raw.PG.Quantity,hHEP_D3_3,hHEP_D3,hHEP
hHEP_D7_1.raw.PG.Quantity,hHEP_D7_1,hHEP_D7,hHEP
hHEP_D7_2.raw.PG.Quantity,hHEP_D7_2,hHEP_D7,hHEP
hHEP_D7_3.raw.PG.Quantity,hHEP_D7_3,hHEP_D7,hHEP
hHSC_D1_1.raw.PG.Quantity,hHSC_D1_1,hHSC_D1,hHSC
hHSC_D1_2.raw.PG.Quantity,hHSC_D1_2,hHSC_D1,hHSC
hHSC_D1_3.raw.PG.Quantity,hHSC_D1_3,hHSC_D1,hHSC
hHSC_D3_1.raw.PG.Quantity,hHSC_D3_1,hHSC_D3,hHSC
hHSC_D3_2.raw.PG.Quantity,hHSC_D3_2,hHSC_D3,hHSC
hHSC_D3_3.raw.PG.Quantity,hHSC_D3_3,hHSC_D3,hHSC
hHSC_D7_1.raw.PG.Quantity,hHSC_D7_1,hHSC_D7,hHSC
hHSC_D7_2.raw.PG.Quantity,hHSC_D7_2,hHSC_D7,hHSC
hHSC_D7_3.raw.PG.Quantity,hHSC_D7_3,hHSC_D7,hHSC
hLSEC_D1_1.raw.PG.Quantity,hLSEC_D1_1,hLSEC_D1,hLSEC
hLSEC_D1_2.raw.PG.Quantity,hLSEC_D1_2,hLSEC_D1,hLSEC
hLSEC_D1_3.raw.PG.Quantity,hLSEC_D1_3,hLSEC_D1,hLSEC
hLSEC_D3_1.raw.PG.Quantity,hLSEC_D3_1,hLSEC_D3,hLSEC
hLSEC_D3_2.raw.PG.Quantity,hLSEC_D3_2,hLSEC_D3,hLSEC
hLSEC_D3_3.raw.PG.Quantity,hLSEC_D3_3,hLSEC_D3,hLSEC
hLSEC_D7_1.raw.PG.Quantity,hLSEC_D7_1,hLSEC_D7,hLSEC
hLSEC_D7_2.raw.PG.Quantity,hLSEC_D7_2,hLSEC_D7,hLSEC
hLSEC_D7_3.raw.PG.Quantity,hLSEC_D7_3,hLSEC_D7,hLSEC
